LTT,FUT,ATMstrike,PrevClose,LTP,High,Low,NetDecay,CE_COI,PE_COI,CE_Max,PE_Max,CE_MaxStr,PE_MaxStr,SPOT,PrevLTP,AVG
09:15:06,39744,39700,671.75,653.15,644.0,646.5,-18.6,19775,80625,24700,34775,42200,29500,39731,3364,653.15
09:15:15,39762,39700,671.75,653.8,644.0,646.5,-17.95,-3775,41675,6825,26200,42600,36100,39748,3362,653.47
09:15:24,39718,39700,671.75,653.7,644.0,651.4,-18.05,-16275,41750,4350,26200,34500,36100,39713,3362,653.55
09:15:31,39725,39700,671.75,650.05,644.0,651.4,-21.7,-16000,16650,4350,26200,34500,36100,39715,3362,652.67
09:15:37,39701,39700,671.75,647.15,644.0,646.2,-24.6,-16000,16650,4350,26200,34500,36100,39694,3362,651.57
09:15:43,39710,39700,671.75,649.15,644.0,646.2,-22.6,-16000,16650,4350,26200,34500,36100,39685,3363,651.17
09:15:49,39700,39700,671.75,642.6,644.0,645.2,-29.15,-16000,16650,4350,26200,34500,36100,39691,3363,649.94
09:15:55,39715,39700,671.75,645.25,644.0,645.2,-26.5,-16000,16650,4350,26200,34500,36100,39687,3362,649.36
09:16:03,39688,39700,671.75,638.6,644.0,647.6,-33.15,-16100,17150,4350,26200,34500,36100,39671,3362,648.16
09:16:12,39666,39700,671.75,648.3,644.0,650.0,-23.45,-16275,-12025,4350,5325,34500,35900,39649,3362,648.18
09:16:20,39677,39700,671.75,648.25,644.0,650.4,-23.5,-15000,-12025,4350,5325,34500,35900,39641,3362,648.18
09:16:27,39680,39700,671.75,650.4,644.0,650.4,-21.35,-15000,-12025,4350,5325,34500,35900,39645,3362,648.37
09:16:35,39670,39700,671.75,652.5,644.0,650.4,-19.25,-15725,-10150,4350,5325,34500,35900,39647,3362,648.68
09:16:43,39685,39700,671.75,651.05,644.0,650.4,-20.7,-15725,-10150,4350,5325,34500,35900,39658,3362,648.85
09:16:54,39700,39700,671.75,649.9,644.0,650.4,-21.85,-15725,-19475,4350,1500,34500,43000,39666,3362,648.92
09:17:01,39698,39700,671.75,648.55,644.0,650.4,-23.2,-15725,-19475,4350,1500,34500,43000,39668,3362,648.9
09:17:06,39700,39700,671.75,646.2,644.0,650.4,-25.55,-15725,-18875,4350,1500,34500,43000,39670,3362,648.74
09:17:13,39706,39700,671.75,646.15,644.0,650.4,-25.6,-15725,-16550,4350,1500,34500,43000,39679,3362,648.6
09:17:20,39691,39700,671.75,646.05,644.0,650.4,-25.7,-15725,-16550,4350,1500,34500,43000,39660,3362,648.46
09:17:27,39680,39700,671.75,648.15,644.0,650.4,-23.6,2137150,2118975,329525,331350,39700,39700,39653,3362,648.45
09:17:35,39672,39700,671.75,650.05,644.0,650.4,-21.7,2132900,2123575,329525,331350,39700,39700,39636,3362,648.52
09:17:41,39659,39700,671.75,655.35,644.0,657.7,-16.4,2140175,2125025,329525,331350,39700,39700,39624,3362,648.83
09:17:48,39654,39700,671.75,650.0,644.0,656.45,-21.75,2139675,2154675,329525,331350,39700,39700,39620,3362,648.88
09:17:54,39659,39700,671.75,652.95,644.0,656.45,-18.8,2139650,2154675,329525,331350,39700,39700,39628,3362,649.05
09:18:00,39657,39700,671.75,653.5,644.0,659.1,-18.25,2139600,2154675,329525,331350,39700,39700,39619,3362,649.23
09:18:07,39633,39700,671.75,653.55,644.0,655.25,-18.2,2139450,2158000,329525,331350,39700,39700,39598,3362,649.4
09:18:15,39633,39700,671.75,653.1,644.0,655.25,-18.65,2139450,2158000,329525,331350,39700,39700,39603,3362,649.54
09:18:19,39655,39700,671.75,651.5,644.0,655.25,-20.25,2139450,2159450,329525,331350,39700,39700,39615,3362,649.61
09:18:25,39640,39700,671.75,654.7,644.0,655.25,-17.05,2139450,2159450,329525,331350,39700,39700,39607,3362,649.78
09:18:32,39655,39700,671.75,654.7,644.0,655.25,-17.05,2139675,2159450,329525,331350,39700,39700,39616,3362,649.94
09:18:38,39663,39700,671.75,651.75,644.0,655.25,-20.0,2139675,2159450,329525,331350,39700,39700,39624,3362,650.0
09:18:45,39660,39700,671.75,653.15,644.0,655.25,-18.6,2143675,2159575,329525,331350,39700,39700,39630,3362,650.1
09:18:52,39673,39700,671.75,647.85,644.0,655.25,-23.9,2143625,2159575,329525,331350,39700,39700,39638,3362,650.03
09:18:58,39669,39700,671.75,648.5,644.0,655.25,-23.25,2146375,2159575,329525,331350,39700,39700,39639,3362,649.99
09:19:04,39661,39700,671.75,645.0,644.0,655.25,-26.75,2146375,2159575,329525,331350,39700,39700,39634,3362,649.85
09:19:10,39675,39700,671.75,646.45,644.0,655.25,-25.3,2149325,2159575,329525,331350,39700,39700,39650,3362,649.75
09:19:17,39681,39700,671.75,645.1,644.0,655.25,-26.65,2150600,2159575,329525,331350,39700,39700,39654,3362,649.63
09:19:26,39674,39700,671.75,644.5,644.0,655.25,-27.25,2150175,2159575,329525,331350,39700,39700,39643,3362,649.49
09:19:31,39676,39700,671.75,646.7,644.0,655.25,-25.05,2150175,2159575,329525,331350,39700,39700,39656,3362,649.42
09:19:36,39676,39700,671.75,645.05,644.0,655.25,-26.7,2150175,2159575,329525,331350,39700,39700,39650,3362,649.31
09:19:44,39662,39700,671.75,645.6,644.0,655.25,-26.15,2150175,2159575,329525,331350,39700,39700,39642,3362,649.22
09:19:50,39671,39700,671.75,644.95,644.0,655.25,-26.8,2150175,2159575,329525,331350,39700,39700,39652,3362,649.12
09:19:55,39662,39700,671.75,647.25,644.0,655.25,-24.5,2150175,2159575,329525,331350,39700,39700,39630,3362,649.07
09:20:02,39663,39700,671.75,643.05,644.0,655.25,-28.7,2150175,2159575,329525,331350,39700,39700,39641,3362,648.94
09:20:08,39659,39700,671.75,644.7,644.0,655.25,-27.05,2150175,2159575,329525,331350,39700,39700,39629,3362,648.84
09:20:15,39658,39700,671.75,644.55,644.0,655.25,-27.2,2150175,2159575,329525,331350,39700,39700,39624,3362,648.75
09:20:22,39662,39700,671.75,644.9,644.0,655.25,-26.85,2150175,2159575,329525,331350,39700,39700,39627,3362,648.67
09:20:27,39654,39700,671.75,645.9,644.0,655.25,-25.85,4345600,3873325,590225,477650,39700,39500,39622,3362,648.61
09:20:35,39645,39700,671.75,646.9,644.0,655.25,-24.85,4361200,3892325,590225,477650,39700,39500,39617,3362,648.58
09:20:41,39649,39700,671.75,647.75,644.0,655.25,-24.0,4362175,3894175,590225,477650,39700,39500,39610,3362,648.56
09:20:48,39648,39700,671.75,650.65,644.0,655.25,-21.1,4362175,3892400,590225,477650,39700,39500,39614,3362,648.6
09:20:55,39660,39700,671.75,647.2,644.0,655.25,-24.55,4362175,3894425,590225,477650,39700,39500,39621,3362,648.57
09:21:01,39644,39700,671.75,648.15,644.0,655.25,-23.6,4362200,3900625,590225,477650,39700,39500,39625,3362,648.57
09:21:07,39650,39700,671.75,648.75,644.0,655.25,-23.0,4362200,3900375,590225,477650,39700,39500,39625,3362,648.57
09:21:13,39642,39700,671.75,650.25,644.0,655.25,-21.5,4362200,3901475,590225,477650,39700,39500,39612,3362,648.6
09:21:20,39630,39700,671.75,650.4,644.0,653.45,-21.35,4362200,3901200,590225,477650,39700,39500,39596,3362,648.63
09:21:26,39621,39700,671.75,652.9,644.0,654.2,-18.85,4362200,3901200,590225,477650,39700,39500,39593,3362,648.71
09:21:33,39621,39700,671.75,658.35,644.0,656.05,-13.4,4362175,3903900,590225,477650,39700,39500,39593,3231,648.87
09:21:40,39624,39700,671.75,654.55,644.0,656.05,-17.2,4362175,3903900,590225,477650,39700,39500,39590,3231,648.97
09:21:46,39620,39700,671.75,655.25,644.0,656.05,-16.5,4362200,3904275,590225,477650,39700,39500,39584,3231,649.07
09:21:54,39624,39700,671.75,652.9,644.0,656.05,-18.85,4362200,3904275,590225,477650,39700,39500,39590,3231,649.14
09:22:00,39624,39700,671.75,651.7,644.0,656.05,-20.05,4362200,3904850,590225,477650,39700,39500,39592,3231,649.18
09:22:08,39610,39700,671.75,652.6,644.0,653.35,-19.15,4362275,3904750,590225,477650,39700,39500,39572,3231,649.23
09:22:14,39604,39700,671.75,654.25,644.0,652.1,-17.5,4362275,3904750,590225,477650,39700,39500,39570,3231,649.31
09:22:23,39610,39700,671.75,651.9,644.0,652.05,-19.85,4362275,3906075,590225,477650,39700,39500,39570,3231,649.35
