LTT,FUT,ATMstrike,PrevClose,LTP,High,Low,NetDecay,CE_COI,PE_COI,CE_Max,PE_Max,CE_MaxStr,PE_MaxStr,SPOT,PrevLTP,AVG
09:15:06,17815,17800,267.55,233.6,233.95,235.95,-33.95,-1073350,-906900,62750,68600,18300,16150,17796,253,233.6
09:15:21,17810,17800,267.55,239.75,233.95,236.1,-27.8,-1148700,-1095800,62750,68600,18300,16150,17872,251,236.68
09:15:34,17818,17800,267.55,247.35,237.35,236.1,-20.2,-1144050,-1163700,62750,27550,18300,16900,17901,259,240.23
09:15:46,17826,17800,267.55,247.65,238.95,236.1,-19.9,-1136300,-1159900,62750,27550,18300,16900,17900,263,242.09
09:15:59,17820,17800,267.55,245.8,238.95,236.1,-21.75,-1136300,-1180050,62750,27550,18300,16900,17884,262,242.83
09:16:10,17821,17800,267.55,243.8,238.95,236.1,-23.75,-1134700,-1183800,62750,27550,18300,16900,17858,259,242.99
09:16:21,17821,17800,267.55,244.5,238.95,236.1,-23.05,-1134700,-1183800,62750,27550,18300,16900,17834,260,243.21
09:16:33,17809,17800,267.55,246.1,238.95,236.1,-21.45,-1134700,-1183800,62750,27550,18300,16900,17817,256,243.57
09:16:44,17811,17800,267.55,243.95,238.95,236.1,-23.6,-1134700,-1178250,62750,27550,18300,16900,17811,257,243.61
09:16:55,17811,17800,267.55,246.15,238.95,236.1,-21.4,-1130650,-1178250,62750,27550,18300,16900,17808,259,243.86
09:17:07,17817,17800,267.55,245.5,238.95,236.1,-22.05,-1130650,-1183050,62750,27550,18300,16900,17807,260,244.01
09:17:20,17826,17800,267.55,245.1,240.15,236.1,-22.45,-1126450,628250,108150,461700,17850,17700,17817,262,244.1
09:17:31,17840,17800,267.55,245.55,245.9,236.1,-22.0,-1078200,652400,108150,461700,17850,17700,17830,266,244.22
09:17:45,17841,17800,267.55,247.45,246.75,236.1,-20.1,-1076300,653150,108150,461700,17850,17700,17830,269,244.45
