LTT,FUT,ATMstrike,PrevClose,LTP,High,Low,NetDecay,CE_COI,PE_COI,CE_Max,PE_Max,CE_MaxStr,PE_MaxStr,SPOT,PrevLTP,AVG
09:15:07,35744,35700,783.2,761.0,729.15,749.9,-22.2,331375,153050,62475,62350,42300,32000,35680,932,761.0
09:15:18,35791,35700,783.2,738.15,723.75,749.9,-45.05,58400,34925,26925,9125,42200,37200,35723,874,749.58
09:15:23,35800,35800,783.2,732.5,742.1,749.9,-50.7,58400,32500,26925,9125,42200,37200,35759,869,743.88
09:15:30,35846,35800,783.2,737.45,733.9,749.9,-45.75,58400,28950,26925,9125,42200,37200,35817,849,742.28
09:15:36,35834,35800,783.2,749.0,733.9,749.9,-34.2,58400,18625,26925,9125,42200,37200,35804,856,743.62
09:15:43,35846,35800,783.2,755.05,742.3,749.9,-28.15,53725,18625,26925,9125,42200,37200,35821,872,745.53
09:15:50,35862,35800,783.2,757.5,751.25,749.9,-25.7,51200,18500,26925,9125,42200,37200,35840,862,747.24
09:15:58,35869,35800,783.2,748.65,748.0,749.9,-34.55,34450,18500,26925,9125,42200,37200,35845,849,747.41
09:16:04,35869,35800,783.2,749.65,747.7,749.9,-33.55,34375,18500,26925,9125,42200,37200,35850,856,747.66
09:16:11,35880,35800,783.2,743.2,740.0,749.9,-40.0,34375,18500,26925,9125,42200,37200,35841,846,747.21
09:16:17,35886,35800,783.2,746.75,740.45,749.9,-36.45,32575,18500,26925,9125,42200,37200,35860,843,747.17
09:16:25,35898,35800,783.2,751.1,741.35,749.9,-32.1,32575,18500,26925,9125,42200,37200,35866,834,747.5
09:16:31,35897,35800,783.2,754.7,745.55,749.9,-28.5,32650,18500,26925,9125,42200,37200,35878,843,748.05
09:16:37,35905,35900,783.2,749.15,750.25,749.9,-34.05,32650,18500,26925,9125,42200,37200,35893,834,748.13
09:16:43,35920,35900,783.2,757.7,755.95,749.9,-25.5,32650,18250,26925,9125,42200,37200,35900,832,748.77
09:16:50,35926,35900,783.2,769.2,762.95,749.9,-14.0,32650,18250,26925,9125,42200,37200,35903,846,750.05
09:16:57,35935,35900,783.2,766.0,772.35,749.9,-17.2,32650,18250,26925,9125,42200,37200,35914,841,750.99
09:17:02,35956,35900,783.2,772.05,767.35,749.9,-11.15,32650,18175,26925,9125,42200,37200,35943,841,752.16
09:17:08,35944,35900,783.2,767.55,767.35,749.9,-15.65,32650,9050,26925,6600,42200,37300,35937,832,752.97
09:17:14,35928,35900,783.2,764.75,767.35,749.9,-18.45,42175,24425,26925,15375,42200,31400,35923,838,753.56
09:17:19,35927,35900,783.2,763.45,767.35,749.9,-19.75,845200,1347025,150425,148075,36000,35600,35922,840,754.03
09:17:24,35906,35900,783.2,764.15,767.35,749.9,-19.05,844075,1347225,150425,148075,36000,35600,35894,844,754.49
09:17:30,35903,35900,783.2,762.5,767.35,749.9,-20.7,844200,1347225,150425,148075,36000,35600,35884,848,754.83
09:17:36,35895,35900,783.2,764.55,767.35,749.9,-18.65,844325,1347225,150425,148075,36000,35600,35866,852,755.24
09:17:40,35897,35900,783.2,761.35,767.35,749.9,-21.85,844400,1346225,150425,148075,36000,35600,35874,855,755.48
09:17:45,35894,35900,783.2,762.6,767.35,749.9,-20.6,817025,1339625,150425,148075,36000,35600,35866,855,755.76
09:17:50,35890,35900,783.2,757.7,767.35,749.9,-25.5,817025,1339625,150425,148075,36000,35600,35863,853,755.83
09:17:56,35897,35900,783.2,759.75,767.35,749.9,-23.45,817025,1339550,150425,148075,36000,35600,35872,853,755.97
09:18:01,35902,35900,783.2,757.6,767.35,749.9,-25.6,817025,1339550,150425,148075,36000,35600,35888,853,756.03
09:18:08,35917,35900,783.2,755.6,767.35,749.9,-27.6,817150,1339500,150425,148075,36000,35600,35897,845,756.01
09:18:13,35923,35900,783.2,756.7,767.35,749.9,-26.5,817150,1339500,150425,148075,36000,35600,35907,841,756.03
09:18:19,35944,35900,783.2,764.5,767.35,749.9,-18.7,817400,1339500,150425,148075,36000,35600,35926,841,756.3
09:18:23,35949,35900,783.2,765.8,767.35,749.9,-17.4,817400,1339500,150425,148075,36000,35600,35931,834,756.59
09:18:29,35961,35900,783.2,768.8,767.35,749.9,-14.4,817400,1339500,150425,148075,36000,35600,35950,831,756.95
09:18:35,35973,35900,783.2,775.65,771.0,749.9,-7.55,817400,1339500,150425,148075,36000,35600,35948,834,757.48
09:18:42,35963,35900,783.2,773.75,771.0,749.9,-9.45,817400,1339500,150425,148075,36000,35600,35950,835,757.93
09:18:47,35950,35900,783.2,770.45,771.0,749.9,-12.75,817500,1339500,150425,148075,36000,35600,35940,836,758.27
09:18:53,35954,35900,783.2,770.35,771.0,749.9,-12.85,817500,1339500,150425,148075,36000,35600,35947,835,758.59
